total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
Cystosarcoma phyllodes, benign [obs]	Benign_Phyllodes_Tumor
Phyllodes tumor, benign (morphologic abnormality)	Benign_Phyllodes_Tumor
Benign Phyllodes Neoplasm	Benign_Phyllodes_Tumor
Phyllodes tumor, benign	Benign_Phyllodes_Tumor
Benign Cystosarcoma Phyllodes	Benign_Phyllodes_Tumor
Cystosarcoma phyllodes, benign	Benign_Phyllodes_Tumor
Phyllodes tumour, benign	Benign_Phyllodes_Tumor
Radiation Non-Ionizing, Diagnostic Imaging	Radiation_Non_Ionizing_Diagnostic_Imaging
Trachea Basal Lamina	Trachea_Basal_Lamina
Bile Duct	Bile_Duct
Biliary duct, NOS	Bile_Duct
Bile duct, NOS	Bile_Duct
Entire bile duct (body structure)	Bile_Duct
Bile duct structure (body structure)	Bile_Duct
Duct, Bile	Bile_Duct
DUCT, BILE	Bile_Duct
Bile Ducts	Bile_Duct
Ducts, Bile	Bile_Duct
Bile Duct Tissue	Bile_Duct
Labia Majora Carcinoma	Labia_Majora_Carcinoma
Labia Majora Cancer	Labia_Majora_Carcinoma
Carcinoma of Labia Majora	Labia_Majora_Carcinoma
Carcinoma of the Labia Majora	Labia_Majora_Carcinoma
N3 Stage Finding	N3_Stage_Finding
N3 Cancer Stage Finding	N3_Stage_Finding
N3 category (finding)	N3_Stage_Finding
N3 TNM Finding	N3_Stage_Finding
Lymph Node Stage N3	N3_Stage_Finding
N3 Node Stage	N3_Stage_Finding
N3 category	N3_Stage_Finding
N3 Regional Lymph Node Stage Finding	N3_Stage_Finding
N3 Lymph Node Finding	N3_Stage_Finding
N3 Regional Lymph Nodes Finding	N3_Stage_Finding
N3 Node Finding	N3_Stage_Finding
N3	N3_Stage_Finding
Node Stage N3	N3_Stage_Finding
Node stage N3	N3_Stage_Finding
N3 Stage	N3_Stage_Finding
N3 lymph node stage	N3_Stage_Finding
N3 stage	N3_Stage_Finding
N3 Lymph Node Stage	N3_Stage_Finding
Postcapillary Venule	Postcapillary_Venule
Structure of postcapillary venule (body structure)	Postcapillary_Venule
Entire postcapillary venule (body structure)	Postcapillary_Venule
Hilar Area of the Kidney	Hilar_Area_of_the_Kidney
Hilum of Kidney	Hilar_Area_of_the_Kidney
Hilum of the Kidney	Hilar_Area_of_the_Kidney
Hilar Area of Kidney	Hilar_Area_of_the_Kidney
Kidney, Hilum	Hilar_Area_of_the_Kidney
KIDNEY, HILUM	Hilar_Area_of_the_Kidney
6p12	6p12
1q41-q42	1q41-q42
15q21-q22	15q21-q22
Borderline Phyllodes Tumor	Borderline_Phyllodes_Tumor
Phyllodes tumour, borderline	Borderline_Phyllodes_Tumor
Phyllodes tumor, borderline (morphologic abnormality)	Borderline_Phyllodes_Tumor
Phyllodes tumor, borderline	Borderline_Phyllodes_Tumor
Borderline Phyllodes Neoplasm	Borderline_Phyllodes_Tumor
Mesothelium structure (body structure)	Mesothelium
Phrenic Artery	Phrenic_Artery
Peritoneal Multicystic Mesothelioma	Peritoneal_Multicystic_Mesothelioma
Multilocular Peritoneal Inclusion Cyst	Peritoneal_Multicystic_Mesothelioma
Multicystic Mesothelioma of Peritoneum	Peritoneal_Multicystic_Mesothelioma
Multicystic Mesothelioma of the Peritoneum	Peritoneal_Multicystic_Mesothelioma
Hand Digit 2 Phalanx	Hand_Digit_2_Phalanx
Bones, Astragalus	Talus
Entire talus (body structure)	Talus
TALUS	Talus
Bone, Astragalus	Talus
Bone structure of talus (body structure)	Talus
Astragalus Bones	Talus
Talus, unspecified	Talus
Astragalus Bone	Talus
2q21.3	2q21_3
Left Inguinal Region	Left_Inguinal_Region
Left inguinal region structure (body structure)	Left_Inguinal_Region
Left Iliac Region	Left_Inguinal_Region
Left iliac fossa (viewed surgically)	Left_Inguinal_Region
2q21.1	2q21_1
Nasal Cavity Respiratory Epithelium	Nasal_Cavity_Respiratory_Epithelium
11q23	11q23
chromosome 11q23	11q23
Chromosome 11q23	11q23
Inferior Palpebral Fold	Inferior_Palpebral_Fold
6q22.33	6q22_33
11q24	11q24
Polycythemia Vera, Post-Polycythemic Myelofibrosis Phase	Polycythemia_Vera_Post_Polycythemic_Myelofibrosis_Phase
Polycythemia Vera, "Spent" Phase	Polycythemia_Vera_Post_Polycythemic_Myelofibrosis_Phase
Polycythemia Vera, Post-Polycythemic Myelofibrosis and Myeloid Metaplasia Stage	Polycythemia_Vera_Post_Polycythemic_Myelofibrosis_Phase
11q22	11q22
Colon Tubular Adenoma	Colon_Tubular_Adenoma
Tubular adenoma of colon (disorder)	Colon_Tubular_Adenoma
6p22	6p22
Uterine Corpus Adenosarcoma	Uterine_Corpus_Adenosarcoma
Adenosarcoma of Body of Uterus	Uterine_Corpus_Adenosarcoma
Adenosarcoma of Uterine Corpus	Uterine_Corpus_Adenosarcoma
Adenosarcoma of the Body of Uterus	Uterine_Corpus_Adenosarcoma
Adenosarcoma of the Uterine Corpus	Uterine_Corpus_Adenosarcoma
Uterine Corpus Mullerian Adenosarcoma	Uterine_Corpus_Adenosarcoma
Body of Uterus Adenosarcoma	Uterine_Corpus_Adenosarcoma
Adenosarcoma of Uterine Body	Uterine_Corpus_Adenosarcoma
Adenosarcoma of the Uterine Body	Uterine_Corpus_Adenosarcoma
Uterine Body Adenosarcoma	Uterine_Corpus_Adenosarcoma
6p23	6p23
6p21	6p21
Dysplastic Cerebellar Gangliocytoma	Dysplastic_Cerebellar_Gangliocytoma
Dysplastic Gangliocytoma of Cerebellum	Dysplastic_Cerebellar_Gangliocytoma
Cerebellum Dysplastic Gangliocytomas	Dysplastic_Cerebellar_Gangliocytoma
Lhermitte-Duclos disease (disorder)	Dysplastic_Cerebellar_Gangliocytoma
Lhermitte Duclos Disease	Dysplastic_Cerebellar_Gangliocytoma
Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)	Dysplastic_Cerebellar_Gangliocytoma
Cerebellum Dysplastic Gangliocytoma	Dysplastic_Cerebellar_Gangliocytoma
Dysplastic Gangliocytoma of the Cerebellum	Dysplastic_Cerebellar_Gangliocytoma
LDD	Dysplastic_Cerebellar_Gangliocytoma
Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos) (morphologic abnormality)	Dysplastic_Cerebellar_Gangliocytoma
Lhermitte-Duclos Disease	Dysplastic_Cerebellar_Gangliocytoma
Lhermitte-Duclos disease	Dysplastic_Cerebellar_Gangliocytoma
6p24	6p24
6p25	6p25
Non-neoplastic Connective Tissue	Stroma
Left Ventricular Mid Inferoseptal Segment	Left_Ventricular_Mid_Inferoseptal_Segment
Intensity-Modulated Spot-Scanning Proton Therapy	Intensity_Modulated_Spot_Scanning_Proton_Therapy
Spot Scan Intensity-Modulated Proton Therapy	Intensity_Modulated_Spot_Scanning_Proton_Therapy
Ascending Spinal Cord Tract	Ascending_Spinal_Cord_Tract
Ascending Tracts of Spinal Cord	Ascending_Spinal_Cord_Tract
Ascending spinal cord tract (body structure)	Ascending_Spinal_Cord_Tract
Ascending Spinal Tracts	Ascending_Spinal_Cord_Tract
Ascending Spinal Cord Tracts	Ascending_Spinal_Cord_Tract
Sinoatrial Node	Sinoatrial_Node
Node, Sinus	Sinoatrial_Node
Sinoatrial Nodes	Sinoatrial_Node
Sino-Atrial Nodes	Sinoatrial_Node
Sinu-Atrial Nodes	Sinoatrial_Node
Node, Sino-Atrial	Sinoatrial_Node
Node of Keith and Flack	Sinoatrial_Node
SA - Sinoatrial node	Sinoatrial_Node
Nodes, Sinoatrial	Sinoatrial_Node
Sinu Atrial Node	Sinoatrial_Node
Sinus Nodes	Sinoatrial_Node
Sino Atrial Node	Sinoatrial_Node
SN - Sinus node	Sinoatrial_Node
Sinuatrial Nodes	Sinoatrial_Node
Node, Sinoatrial	Sinoatrial_Node
Nodes, Sinu-Atrial	Sinoatrial_Node
Sinu-Atrial Node	Sinoatrial_Node
S-A Node	Sinoatrial_Node
Nodes, Sinuatrial	Sinoatrial_Node
Sino-Atrial Node	Sinoatrial_Node
SA node	Sinoatrial_Node
Structure of sinoatrial node (body structure)	Sinoatrial_Node
Nodes, Sinus	Sinoatrial_Node
SA nodal muscle tissue	Sinoatrial_Node
Sinuatrial Node	Sinoatrial_Node
Node, Sinu-Atrial	Sinoatrial_Node
Node of Keith-Flack	Sinoatrial_Node
Sinus Node	Sinoatrial_Node
Node, Sinuatrial	Sinoatrial_Node
Sinus node of Keith and Flack	Sinoatrial_Node
Nodes, Sino-Atrial	Sinoatrial_Node
Entire sinoatrial node (body structure)	Sinoatrial_Node
Membrane Part	Membrane_Part
Pseudostratified Columnar Epithelium	Pseudostratified_Columnar_Epithelium
Polymorphus Hemangioendothelioma	Polymorphus_Hemangioendothelioma
Structure of mesovarium (body structure)	Mesovarium
Mesovarian Ligament	Mesovarium
Entire mesovarium (body structure)	Mesovarium
Breast Cancer pN3c TNM Finding	Breast_Cancer_pN3c_TNM_Finding
pN3c Breast Carcinoma v6	Breast_Cancer_pN3c_TNM_Finding
pN3c Breast Cancer v6	Breast_Cancer_pN3c_TNM_Finding
pN3c Carcinoma of the Breast v6	Breast_Cancer_pN3c_TNM_Finding
pN3c Carcinoma of Breast v6	Breast_Cancer_pN3c_TNM_Finding
Breast Cancer pN3c TNM Finding v7	Breast_Cancer_pN3c_TNM_Finding
pN3c Cancer of the Breast v6	Breast_Cancer_pN3c_TNM_Finding
Breast Cancer pN3c TNM Finding v6	Breast_Cancer_pN3c_TNM_Finding
pN3c Cancer of Breast v6	Breast_Cancer_pN3c_TNM_Finding
pN3c	Breast_Cancer_pN3c_TNM_Finding
Lumen of the Lysosome	Lumen_of_the_Lysosome
Coated Vesicle	Coated_Vesicle
Vesicles, Coated	Coated_Vesicle
Coated Vesicles	Coated_Vesicle
Vesicle, Coated	Coated_Vesicle
Coated vesicle (cell structure)	Coated_Vesicle
Chronic active (qualifier value)	Chronic_active
Lung Pleomorphic Carcinoma	Lung_Pleomorphic_Carcinoma
Cheek, NOS	Cheek
Entire cheek (body structure)	Cheek
Cheek structure (body structure)	Cheek
CHEEK	Cheek
14q32.31	14q32_31
Anterior Cusp of the Tricuspid Valve	Anterior_Cusp_of_the_Tricuspid_Valve
TRICUSPID VALVE, ANTERIOR CUSP	Anterior_Cusp_of_the_Tricuspid_Valve
Infundibular Cusp	Anterior_Cusp_of_the_Tricuspid_Valve
14q32.33	14q32_33
Invasive Papillary Breast Carcinoma	Invasive_Papillary_Breast_Carcinoma
Infiltrating Papillary Breast Carcinoma	Invasive_Papillary_Breast_Carcinoma
7q21-q22.1	7q21-q22_1
Peripheral Primitive Neuroectodermal Tumor	Peripheral_Primitive_Neuroectodermal_Tumor
PPNET	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral neuroectodermal tumor (disorder)	Peripheral_Primitive_Neuroectodermal_Tumor
Tumor, Peripheral Neuroectodermal	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Tumors, Primitive, Peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
(pPNET) Peripheral Primitive Neuroectodermal Tumors	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Tumor, Peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
Extracranial Primitive Neuroectodermal Tumor	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Neuroectodermal Neoplasm	Peripheral_Primitive_Neuroectodermal_Tumor
Primitive Neuroectodermal Tumor, Extracranial	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Neuroectodermal Tumors	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Primitive Neuroectodermal Neoplasm	Peripheral_Primitive_Neuroectodermal_Tumor
PNE	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Primitive Neuroectodermal Tumors	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Neoplasm, Peripheral Primitive	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Tumor, Peripheral Primitive	Peripheral_Primitive_Neuroectodermal_Tumor
primitive neuroectodermal tumor, peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
pPNET	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Tumors, Primitive, Peripheral [Disease/Finding]	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Neuroepithelioma	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral neuroectodermal tumor (morphologic abnormality)	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroectodermal Tumors, Peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral primitive neuroectodermal tumor, NOS	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral PNET	Peripheral_Primitive_Neuroectodermal_Tumor
PNE - Peripheral neuroepithelioma	Peripheral_Primitive_Neuroectodermal_Tumor
Tumors, Peripheral Neuroectodermal	Peripheral_Primitive_Neuroectodermal_Tumor
Neuroepithelioma, Peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
neuroepithelioma, peripheral	Peripheral_Primitive_Neuroectodermal_Tumor
NEUROEPITHELIOMA, PERIPHERAL	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral Neuroectodermal Tumor	Peripheral_Primitive_Neuroectodermal_Tumor
Peripheral neuroepithelioma (disorder)	Peripheral_Primitive_Neuroectodermal_Tumor
Structure of pectineus muscle (body structure)	Pectineus
Entire pectineus muscle (body structure)	Pectineus
Stage 0 Gastric Cancer	Stage_0_Gastric_Cancer
Stage 0 Carcinoma of Stomach	Stage_0_Gastric_Cancer
Carcinoma in situ: Stomach	Stage_0_Gastric_Cancer
Carcinoma in situ of Stomach	Stage_0_Gastric_Cancer
Gastric malignancy stage 0	Stage_0_Gastric_Cancer
Stage 0 Carcinoma of the Stomach	Stage_0_Gastric_Cancer
Carcinoma in situ of the Stomach	Stage_0_Gastric_Cancer
Stage 0 Stomach Cancer	Stage_0_Gastric_Cancer
stomach cancer, stage 0	Stage_0_Gastric_Cancer
stage 0 gastric cancer	Stage_0_Gastric_Cancer
stage 0 gastric carcinoma in situ	Stage_0_Gastric_Cancer
Carcinoma of Stomach Stage 0	Stage_0_Gastric_Cancer
Gastric cancer stage 0	Stage_0_Gastric_Cancer
Gastric Carcinoma, Stage 0	Stage_0_Gastric_Cancer
Stage 0 Gastric Cancer AJCC v7	Stage_0_Gastric_Cancer
Stage 0 Gastric Cancer AJCC v6	Stage_0_Gastric_Cancer
Gastric Carcinoma in situ	Stage_0_Gastric_Cancer
Gastric carcinoma stage 0	Stage_0_Gastric_Cancer
Carcinoma of the Stomach Stage 0	Stage_0_Gastric_Cancer
Gastric Carcinoma Stage 0	Stage_0_Gastric_Cancer
Stage 0 Gastric Carcinoma	Stage_0_Gastric_Cancer
gastric cancer, stage 0	Stage_0_Gastric_Cancer
Stomach Carcinoma in situ	Stage_0_Gastric_Cancer
Stomach cancer stage 0	Stage_0_Gastric_Cancer
Stomach carcinoma stage 0	Stage_0_Gastric_Cancer
Stage 0 Stomach Carcinoma	Stage_0_Gastric_Cancer
Stomach Carcinoma Stage 0	Stage_0_Gastric_Cancer
Carcinoma in situ of stomach (disorder)	Stage_0_Gastric_Cancer
Longissimus Cervicis	Longissimus_Cervicis
Structure of longissimus cervicis muscle (body structure)	Longissimus_Cervicis
Entire longissimus cervicis muscle (body structure)	Longissimus_Cervicis
Proximal Interphalangeal Joint 2 of the Foot	Proximal_Interphalangeal_Joint_2_of_the_Foot
PIP2 of the Foot	Proximal_Interphalangeal_Joint_2_of_the_Foot
PROXIMAL INTERPHALANGEAL JOINT 2 OF THE FOOT	Proximal_Interphalangeal_Joint_2_of_the_Foot
Chitina Indians	Chitina
Actin Filaments	Myofilament
Actin Cytoskeletons	Myofilament
Microfilaments, Actin	Myofilament
Actin Cytoskeleton	Myofilament
Filaments, Actin	Myofilament
Cytoskeleton, Actin	Myofilament
Actin Microfilaments	Myofilament
Actin Filament	Myofilament
Filaments of contractile apparatus (cell structure)	Myofilament
Actin Microfilament	Myofilament
Cytoskeletons, Actin	Myofilament
Filament, Actin	Myofilament
Microfilament, Actin	Myofilament
1p36.1-p35	1p36_1-p35
Proximal Urethral Carcinoma	Proximal_Urethral_Carcinoma
S3a ribosomal protein, insect	Proximal_Urethral_Carcinoma
ribosomal protein S3a, insect	Proximal_Urethral_Carcinoma
RpS3a protein, Drosophila	Proximal_Urethral_Carcinoma
11q13-q14	11q13-q14
Retroperitoneal compartment structure (body structure)	Retroperitoneum
Structure of retroperitoneal space (body structure)	Retroperitoneum
Retroperitoneal Cavity	Retroperitoneum
Retroperitoneal Space	Retroperitoneum
Space, Retroperitoneal	Retroperitoneum
Retroperitoneal Spaces	Retroperitoneum
Spaces, Retroperitoneal	Retroperitoneum
Eyelid Subcutaneous Connective Tissue	Eyelid_Subcutaneous_Connective_Tissue
Carpometacarpal Joint	Carpometacarpal_Joint
Joints, Carpometacarpal	Carpometacarpal_Joint
Joint, Carpometacarpal	Carpometacarpal_Joint
Carpometacarpal joint of finger (body structure)	Carpometacarpal_Joint
Carpometacarpal joint structure (body structure)	Carpometacarpal_Joint
Carpometacarpal Joints	Carpometacarpal_Joint
ADENOMYOMA, BENIGN	Adenomyoma
Adenomyoma (morphologic abnormality)	Adenomyoma
Adenomyoma [Disease/Finding]	Adenomyoma
11q12	11q12
11q13	11q13
Alatna Indians	Alatna
Superior Parathyroid Gland	Superior_Parathyroid_Gland
Superior parathyroid gland (body structure)	Superior_Parathyroid_Gland
11q14	11q14
Malignant Gastrinoma	Malignant_Gastrinoma
G cell tumor, malignant	Malignant_Gastrinoma
Gastrin cell tumour, malignant	Malignant_Gastrinoma
Malignant G cell tumor	Malignant_Gastrinoma
Gastrinoma, malignant (morphologic abnormality)	Malignant_Gastrinoma
Gastrin cell tumor, malignant	Malignant_Gastrinoma
G cell tumour, malignant	Malignant_Gastrinoma
Malignant G cell tumour	Malignant_Gastrinoma
Gastrinoma, malignant	Malignant_Gastrinoma
Malignant Ovarian Germ Cell Tumor	Malignant_Ovarian_Germ_Cell_Tumor
Malignant Germ Cell Tumor of the Ovary	Malignant_Ovarian_Germ_Cell_Tumor
Malignant Germ Cell Neoplasm of the Ovary	Malignant_Ovarian_Germ_Cell_Tumor
Ovarian Germ Cell Cancer	Malignant_Ovarian_Germ_Cell_Tumor
OVARIAN CANCER, GERM CELL	Malignant_Ovarian_Germ_Cell_Tumor
Malignant Germ Cell Tumor of Ovary	Malignant_Ovarian_Germ_Cell_Tumor
Malignant Ovarian Germ Cell Neoplasm	Malignant_Ovarian_Germ_Cell_Tumor
Malignant germ cell tumor of ovary (disorder)	Malignant_Ovarian_Germ_Cell_Tumor
Ovarian germ cell cancer NOS	Malignant_Ovarian_Germ_Cell_Tumor
Malignant Germ Cell Neoplasm of Ovary	Malignant_Ovarian_Germ_Cell_Tumor
1q41-q44	1q41-q44
2p14.1	2p14_1
Basilic Vein	Basilic_Vein
Entire basilic vein (body structure)	Basilic_Vein
Structure of basilic vein (body structure)	Basilic_Vein
Acute Myeloid Leukemia with t	Acute_Myeloid_Leukemia_with_t
VITAL	VitalSigns_Section
VS	VitalSigns_Section
Burkitt Leukemia	Burkitt_Leukemia
Lymphocytic Leukemias, L3	Burkitt_Leukemia
Lymphoma, Burkitt	Burkitt_Leukemia
non-Hodgkin's lymphoma, Burkitt's	Burkitt_Leukemia
Leukemia, Lymphocytic, L3	Burkitt_Leukemia
Burkitts Leukemia	Burkitt_Leukemia
childhood Burkitt lymphoma	Burkitt_Leukemia
B-cell type acute leukaemia NOS	Burkitt_Leukemia
Malignant lymphoma, small noncleaved, Burkitt type [obs]	Burkitt_Leukemia
Burkitt lymphoma, NOS Includes all variants	Burkitt_Leukemia
Burkitt lymphoma, unspecified site	Burkitt_Leukemia
Burkitt's tumor [obs]	Burkitt_Leukemia
Burkitt's lymphoma (clinical)	Burkitt_Leukemia
BL - Burkitt's lymphoma	Burkitt_Leukemia
BL	Burkitt_Leukemia
Burkitt's Leukemia	Burkitt_Leukemia
LYMPHOMA, BURKITT	Burkitt_Leukemia
Cell Leukemia, Burkitt	Burkitt_Leukemia
Burkitt tumour [obs]	Burkitt_Leukemia
Tumor, Burkitt	Burkitt_Leukemia
Acute lymphoblastic leukaemia, mature B-cell type	Burkitt_Leukemia
FAB L3 [obs]	Burkitt_Leukemia
Acute lymphoblastic leukaemia, Burkitt's type	Burkitt_Leukemia
Burkitt's Cell Leukemia	Burkitt_Leukemia
Burkitt's tumour [obs]	Burkitt_Leukemia
Burkitt Lymphoma	Burkitt_Leukemia
L3 Lymphocytic Leukemias	Burkitt_Leukemia
Lymphoma, Burkitt's	Burkitt_Leukemia
Burkitt Cell Leukemia	Burkitt_Leukemia
Leukemia, Burkitt Cell	Burkitt_Leukemia
L3 Lymphocytic Leukemia	Burkitt_Leukemia
Burkitt tumor [obs]	Burkitt_Leukemia
Burkitt lymphoma/leukemia (morphologic abnormality)	Burkitt_Leukemia
Burkitt lymphoma (morphologic abnormality)	Burkitt_Leukemia
Burkitt's Lymphoma	Burkitt_Leukemia
Malignant lymphoma, Burkitt's type	Burkitt_Leukemia
Leukemias, L3 Lymphocytic	Burkitt_Leukemia
Burkitt's lymphoma (disorder)	Burkitt_Leukemia
Leukemia, Burkitt	Burkitt_Leukemia
Leukemia, Lymphoblastic, Burkitt-Type	Burkitt_Leukemia
Burkitts Lymphoma	Burkitt_Leukemia
Burkitt's lymphoma NOS	Burkitt_Leukemia
Malignant lymphoma, undifferentiated, Burkitt type [obs]	Burkitt_Leukemia
Burkitt Lymphoma [Disease/Finding]	Burkitt_Leukemia
B-cell type acute leukemia NOS	Burkitt_Leukemia
Leukemia, L3 Lymphocytic	Burkitt_Leukemia
lymphoma, Burkitt's	Burkitt_Leukemia
Tumor, Burkitt's	Burkitt_Leukemia
Malignant lymphoma, small noncleaved, Burkitt's, diffuse	Burkitt_Leukemia
Burkitts Tumor	Burkitt_Leukemia
Small Non-Cleaved Cell Lymphoma, Burkitt's Type	Burkitt_Leukemia
Burkitt cell leukemia (morphologic abnormality)	Burkitt_Leukemia
Acute lymphoblastic leukemia, mature B-cell type	Burkitt_Leukemia
Burkitt's Tumor	Burkitt_Leukemia
Acute lymphoblastic leukemia, Burkitt's type	Burkitt_Leukemia
Acute leukemia, Burkitt type [obs]	Burkitt_Leukemia
Burkitt Tumor	Burkitt_Leukemia
Lymphocytic Leukemia, L3	Burkitt_Leukemia
Leukemia, Burkitt's	Burkitt_Leukemia
NHL, Burkitt's	Burkitt_Leukemia
Posterior Wall of the Oropharynx	Posterior_Wall_of_the_Oropharynx
Posterior Wall of Oropharynx	Posterior_Wall_of_the_Oropharynx
Nerve Sheath	Nerve_Sheath
Splenic Marginal Sinus	Splenic_Marginal_Sinus
Spleen Marginal Sinus	Splenic_Marginal_Sinus
Substantia Propria	Substantia_Propria
Structure of sclera proper (body structure)	Substantia_Propria
Sclera Proper	Substantia_Propria
Tenon's Capsule	Substantia_Propria
Koyukuk Indians	Koyukuk
Convoluted Tubule	Convoluted_Tubule
Pyloric Sphincter	Pyloric_Sphincter
Sphincter, Pyloric	Pyloric_Sphincter
Entire pyloric sphincter (body structure)	Pyloric_Sphincter
Pyloric sphincter structure (body structure)	Pyloric_Sphincter
Sphincters, Pyloric	Pyloric_Sphincter
Pyloric Sphincters	Pyloric_Sphincter
Bronchus Elastic Tissue	Bronchus_Elastic_Tissue
Port Heiden	Port_Heiden
Port Heiden Aleuts	Port_Heiden
Renal Cell Carcinoma Associated with inv	Renal_Cell_Carcinoma_Associated_with_inv
Lateral Surface of the Liver	Lateral_Surface_of_the_Liver
Lateral Surface of Liver	Lateral_Surface_of_the_Liver
Right Surface of the Liver	Lateral_Surface_of_the_Liver
Right Surface of Liver	Lateral_Surface_of_the_Liver
Bile Duct Adenoma	Bile_Duct_Adenoma
Adenoma of Bile Duct	Bile_Duct_Adenoma
Bile Duct Adenomas	Bile_Duct_Adenoma
Adenoma, Bile Duct [Disease/Finding]	Bile_Duct_Adenoma
Adenoma, Bile Duct	Bile_Duct_Adenoma
Hepatocholangiocellular Adenoma	Bile_Duct_Adenoma
Adenoma of the Bile Duct	Bile_Duct_Adenoma
Adenomas, Bile Duct	Bile_Duct_Adenoma
Bile duct adenoma (morphologic abnormality)	Bile_Duct_Adenoma
CHOLANGIOMA, BENIGN	Bile_Duct_Adenoma
Cholangioadenoma (disorder)	Bile_Duct_Adenoma
Head of the Femur	Head_of_the_Femur
Femur Head	Head_of_the_Femur
Femoral Head	Head_of_the_Femur
Distal Phalanx of Hand	Distal_Phalanx_of_Hand
Distal Phalanx of the Hand	Distal_Phalanx_of_Hand
Distal Phalanx of Finger	Distal_Phalanx_of_Hand
Fourth Portion of the Duodenum	Fourth_Portion_of_the_Duodenum
Fourth Portion of Duodenum	Fourth_Portion_of_the_Duodenum
Ascending Portion of Duodenum	Fourth_Portion_of_the_Duodenum
Ascending Portion of the Duodenum	Fourth_Portion_of_the_Duodenum
Endoplasmic Reticulum	Endoplasmic_Reticulum
Endoplasmic reticulum (cell structure)	Endoplasmic_Reticulum
ER	Endoplasmic_Reticulum
Reticulum, Endoplasmic	Endoplasmic_Reticulum
Xq27.3	Xq27_3
7 o'clock position	7_o_clock_position
7 o clock	7_o_clock_position
7 o'clock	7_o_clock_position
6p21-p12	6p21-p12
Xq27.1	Xq27_1
Colorectal Traditional Serrated Adenoma	Colorectal_Traditional_Serrated_Adenoma
Colorectal TSA	Colorectal_Traditional_Serrated_Adenoma
Traditional Serrated Adenoma of the Large Bowel	Colorectal_Traditional_Serrated_Adenoma
Traditional Serrated Adenoma of Large Bowel	Colorectal_Traditional_Serrated_Adenoma
Colorectal Serrated Adenoma	Colorectal_Traditional_Serrated_Adenoma
Large Bowel Traditional Serrated Adenoma	Colorectal_Traditional_Serrated_Adenoma
Colorectal Serrated Adenoma Type II	Colorectal_Traditional_Serrated_Adenoma
Oklahoma Delaware	Oklahoma_Delaware
Oklahoma Delaware race	Oklahoma_Delaware
Spirit Lake Sioux	Spirit_Lake_Sioux
Spirit Lake Sioux Indians	Spirit_Lake_Sioux
Distal Interphalangeal Joint 4 of the Foot	Distal_Interphalangeal_Joint_4_of_the_Foot
DIP4 of the Foot	Distal_Interphalangeal_Joint_4_of_the_Foot
DISTAL INTERPHALANGEAL JOINT 4 OF THE FOOT	Distal_Interphalangeal_Joint_4_of_the_Foot
Cow Creek Umpqua	Cow_Creek_Umpqua
Cow Creek Umpqua Indians	Cow_Creek_Umpqua
Gamma Knife	Gamma_Knife
Radiosurgeries, Gamma Knife	Gamma_Knife
Stereotactic Systems, Frame-Guided, Radiosurgical, Gamma	Gamma_Knife
Radiosurgery, Gamma Knife	Gamma_Knife
Radiosurgery using Gamma irradiation	Gamma_Knife
Gamma Frame-Guided Radiosurgical Stereotactic Systems	Gamma_Knife
Gamma Knives	Gamma_Knife
Gamma Radiosurgical Stereotactic Systems	Gamma_Knife
Gamma Knife therapy	Gamma_Knife
Gamma Knife (physical object)	Gamma_Knife
Gamma Knife Radiosurgery	Gamma_Knife
Gamma Knife Radiosurgeries	Gamma_Knife
Gamma Systems	Gamma_Knife
Radiosurgical Units, Stereotactic, Gamma	Gamma_Knife
Stereotactic Radiosurgical Systems, Gamma	Gamma_Knife
Gamma Radiosurgical Systems, Stereotactic	Gamma_Knife
Stereotactic Systems, Radiosurgical, Gamma	Gamma_Knife
Aleut Corporation	Aleut_Corporation
Aleut Corporation Aleuts	Aleut_Corporation
Yapese (ethnic group)	Yapese
Kaposi Sarcoma	Kaposi_Sarcoma
